Identifier Value,Field,Value
NZDSWAPP15Y,LAST_PRICE,0.0394
NZDSWAPP20Y,LAST_PRICE,0.0391
NZDSWAPP25Y,LAST_PRICE,0.0389
NZDSWAPP30Y,LAST_PRICE,0.0387
NZDSWAPP40Y,LAST_PRICE,0.0384
NZDSWAPP50Y,LAST_PRICE,0.0379
NZDSWAPP80Y,LAST_PRICE,0.0379
DKKSWAPP2Y,LAST_PRICE,0.025
DKKSWAPP3Y,LAST_PRICE,0.031
DKKSWAPP4Y,LAST_PRICE,0.035
DKKSWAPP5Y,LAST_PRICE,0.037
DKKSWAPP6Y,LAST_PRICE,0.039
DKKSWAPP7Y,LAST_PRICE,0.04
DKKSWAPP8Y,LAST_PRICE,0.041
DKKSWAPP9Y,LAST_PRICE,0.0408
DKKSWAPP10Y,LAST_PRICE,0.0406
DKKSWAPP12Y,LAST_PRICE,0.0398
DKKSWAPP15Y,LAST_PRICE,0.0394
DKKSWAPP20Y,LAST_PRICE,0.0391
DKKSWAPP25Y,LAST_PRICE,0.0389
DKKSWAPP30Y,LAST_PRICE,0.0387
DKKSWAPP40Y,LAST_PRICE,0.0384
DKKSWAPP50Y,LAST_PRICE,0.0379
DKKSWAPP80Y,LAST_PRICE,0.0379
AUDSWAPP1Y,LAST_PRICE,0.015
AUDSWAPP2Y,LAST_PRICE,0.025
AUDSWAPP3Y,LAST_PRICE,0.031
AUDSWAPP4Y,LAST_PRICE,0.035
AUDSWAPP5Y,LAST_PRICE,0.037
AUDSWAPP6Y,LAST_PRICE,0.039
AUDSWAPP7Y,LAST_PRICE,0.04
AUDSWAPP8Y,LAST_PRICE,0.041
AUDSWAPP9Y,LAST_PRICE,0.0408
AUDSWAPP10Y,LAST_PRICE,0.0406
AUDSWAPP12Y,LAST_PRICE,0.0398
AUDSWAPP15Y,LAST_PRICE,0.0394
AUDSWAPP20Y,LAST_PRICE,0.0391
AUDSWAPP25Y,LAST_PRICE,0.0389
AUDSWAPP30Y,LAST_PRICE,0.0387
AUDSWAPP40Y,LAST_PRICE,0.0384
AUDSWAPP50Y,LAST_PRICE,0.0379
AUDSWAPP80Y,LAST_PRICE,0.0379
#Libor,,
USDLIBORP7D,LAST_PRICE,0.003
USDLIBORP14D,LAST_PRICE,0.0032
USDLIBORP1M,LAST_PRICE,0.0034
USDLIBORP2M,LAST_PRICE,0.0044
USDLIBORP3M,LAST_PRICE,0.0055
USDLIBORP6M,LAST_PRICE,0.0082
USDLIBORP12M,LAST_PRICE,0.0167
EURLIBORP7D,LAST_PRICE,0.0012
EURLIBORP14D,LAST_PRICE,0.0013
EURLIBORP1M,LAST_PRICE,0.00138
EURLIBORP2M,LAST_PRICE,0.0014
EURLIBORP3M,LAST_PRICE,0.0155
EURLIBORP6M,LAST_PRICE,0.01793
EURLIBORP12M,LAST_PRICE,0.0216
GBPLIBORP7D,LAST_PRICE,0.0013
GBPLIBORP14D,LAST_PRICE,0.002
GBPLIBORP1M,LAST_PRICE,0.00238
GBPLIBORP2M,LAST_PRICE,0.005
GBPLIBORP3M,LAST_PRICE,0.00834
GBPLIBORP6M,LAST_PRICE,0.0119
GBPLIBORP12M,LAST_PRICE,0.01593
CHFLIBORP7D,LAST_PRICE,0.0011
CHFLIBORP14D,LAST_PRICE,0.0012
CHFLIBORP1M,LAST_PRICE,0.0013
CHFLIBORP2M,LAST_PRICE,0.00135
CHFLIBORP3M,LAST_PRICE,0.00138
CHFLIBORP6M,LAST_PRICE,0.0024
CHFLIBORP12M,LAST_PRICE,0.005
JPYLIBORP7D,LAST_PRICE,0.0012
JPYLIBORP14D,LAST_PRICE,0.0013
JPYLIBORP1M,LAST_PRICE,0.00138
JPYLIBORP2M,LAST_PRICE,0.0017
JPYLIBORP3M,LAST_PRICE,0.00195
JPYLIBORP6M,LAST_PRICE,0.0034
JPYLIBORP12M,LAST_PRICE,0.00559
NZDLIBORP3M,LAST_PRICE,2.878
NZDLIBORP6M,LAST_PRICE,3.124
NZDLIBORP12M,LAST_PRICE,3.542
DKKLIBORP3M,LAST_PRICE,1.006
DKKLIBORP6M,LAST_PRICE,1.262
DKKLIBORP12M,LAST_PRICE,1.511
AUDLIBORP7D,LAST_PRICE,0.003
AUDLIBORP14D,LAST_PRICE,0.0032
AUDLIBORP1M,LAST_PRICE,0.0034
AUDLIBORP2M,LAST_PRICE,0.0044
AUDLIBORP3M,LAST_PRICE,0.0055
AUDLIBORP6M,LAST_PRICE,0.0082
AUDLIBORP12M,LAST_PRICE,0.0167
#Euribor,,
EUREURIBORP7D,LAST_PRICE,0.0012
EUREURIBORP14D,LAST_PRICE,0.0013
EUREURIBORP1M,LAST_PRICE,0.00138
EUREURIBORP2M,LAST_PRICE,0.0014
EUREURIBORP3M,LAST_PRICE,0.0155
EUREURIBORP6M,LAST_PRICE,0.01793
EUREURIBORP12M,LAST_PRICE,0.0216
#OIS,,
USDOIS_SWAPP1M,LAST_PRICE,0.0027
USDOIS_SWAPP2M,LAST_PRICE,0.0027
USDOIS_SWAPP3M,LAST_PRICE,0.0026
USDOIS_SWAPP4M,LAST_PRICE,0.0027
USDOIS_SWAPP5M,LAST_PRICE,0.003
USDOIS_SWAPP6M,LAST_PRICE,0.003
USDOIS_SWAPP9M,LAST_PRICE,0.0031
USDOIS_SWAPP1Y,LAST_PRICE,0.0032
USDOIS_SWAPP2Y,LAST_PRICE,0.0035
USDOIS_SWAPP3Y,LAST_PRICE,0.0045
USDOIS_SWAPP4Y,LAST_PRICE,0.0075
USDOIS_SWAPP5Y,LAST_PRICE,0.01
USDOIS_SWAPP10Y,LAST_PRICE,0.015
EUROIS_SWAPP1M,LAST_PRICE,0.0027
EUROIS_SWAPP2M,LAST_PRICE,0.0027
EUROIS_SWAPP3M,LAST_PRICE,0.0026
EUROIS_SWAPP4M,LAST_PRICE,0.0027
EUROIS_SWAPP5M,LAST_PRICE,0.003
EUROIS_SWAPP6M,LAST_PRICE,0.003
EUROIS_SWAPP9M,LAST_PRICE,0.0031
EUROIS_SWAPP1Y,LAST_PRICE,0.0032
EUROIS_SWAPP2Y,LAST_PRICE,0.0035
EUROIS_SWAPP3Y,LAST_PRICE,0.0045
EUROIS_SWAPP4Y,LAST_PRICE,0.0075
EUROIS_SWAPP5Y,LAST_PRICE,0.01
EUROIS_SWAPP10Y,LAST_PRICE,0.015
CHFOIS_SWAPP1M,LAST_PRICE,0.0027
CHFOIS_SWAPP2M,LAST_PRICE,0.0027
CHFOIS_SWAPP3M,LAST_PRICE,0.0026
CHFOIS_SWAPP4M,LAST_PRICE,0.0027
CHFOIS_SWAPP5M,LAST_PRICE,0.003
CHFOIS_SWAPP6M,LAST_PRICE,0.003
CHFOIS_SWAPP9M,LAST_PRICE,0.0031
CHFOIS_SWAPP1Y,LAST_PRICE,0.0032
CHFOIS_SWAPP2Y,LAST_PRICE,0.0035
CHFOIS_SWAPP3Y,LAST_PRICE,0.0045
CHFOIS_SWAPP4Y,LAST_PRICE,0.0075
CHFOIS_SWAPP5Y,LAST_PRICE,0.01
CHFOIS_SWAPP10Y,LAST_PRICE,0.015
JPYOIS_SWAPP1M,LAST_PRICE,0.0027
JPYOIS_SWAPP2M,LAST_PRICE,0.0027
JPYOIS_SWAPP3M,LAST_PRICE,0.0026
JPYOIS_SWAPP4M,LAST_PRICE,0.0027
JPYOIS_SWAPP5M,LAST_PRICE,0.003
JPYOIS_SWAPP6M,LAST_PRICE,0.003
JPYOIS_SWAPP9M,LAST_PRICE,0.0031
JPYOIS_SWAPP1Y,LAST_PRICE,0.0032
JPYOIS_SWAPP2Y,LAST_PRICE,0.0035
JPYOIS_SWAPP3Y,LAST_PRICE,0.0045
JPYOIS_SWAPP4Y,LAST_PRICE,0.0075
JPYOIS_SWAPP5Y,LAST_PRICE,0.01
JPYOIS_SWAPP10Y,LAST_PRICE,0.015
GBPOIS_SWAPP1M,LAST_PRICE,0.0027
GBPOIS_SWAPP2M,LAST_PRICE,0.0027
GBPOIS_SWAPP3M,LAST_PRICE,0.0026
GBPOIS_SWAPP4M,LAST_PRICE,0.0027
GBPOIS_SWAPP5M,LAST_PRICE,0.003
GBPOIS_SWAPP6M,LAST_PRICE,0.003
GBPOIS_SWAPP9M,LAST_PRICE,0.0031
GBPOIS_SWAPP1Y,LAST_PRICE,0.0032
GBPOIS_SWAPP2Y,LAST_PRICE,0.0035
GBPOIS_SWAPP3Y,LAST_PRICE,0.0045
GBPOIS_SWAPP4Y,LAST_PRICE,0.0075
GBPOIS_SWAPP5Y,LAST_PRICE,0.01
GBPOIS_SWAPP10Y,LAST_PRICE,0.015
AUDOIS_SWAPP1M,LAST_PRICE,0.0027
AUDOIS_SWAPP2M,LAST_PRICE,0.0027
AUDOIS_SWAPP3M,LAST_PRICE,0.0026
AUDOIS_SWAPP4M,LAST_PRICE,0.0027
AUDOIS_SWAPP5M,LAST_PRICE,0.003
AUDOIS_SWAPP6M,LAST_PRICE,0.003
AUDOIS_SWAPP9M,LAST_PRICE,0.0031
AUDOIS_SWAPP1Y,LAST_PRICE,0.0032
AUDOIS_SWAPP2Y,LAST_PRICE,0.0035
AUDOIS_SWAPP3Y,LAST_PRICE,0.0045
AUDOIS_SWAPP4Y,LAST_PRICE,0.0075
AUDOIS_SWAPP5Y,LAST_PRICE,0.01
AUDOIS_SWAPP10Y,LAST_PRICE,0.015
#FRA,,
USDFRAP6M,LAST_PRICE,0.0055
USDFRAP9M,LAST_PRICE,0.006
EURFRAP6M,LAST_PRICE,0.0055
EURFRAP9M,LAST_PRICE,0.006
EURFRAP12M,LAST_PRICE,0.0069
CHFFRAP6M,LAST_PRICE,0.0055
CHFFRAP9M,LAST_PRICE,0.006
GBPFRAP6M,LAST_PRICE,0.0055
GBPFRAP9M,LAST_PRICE,0.006
JPYFRAP6M,LAST_PRICE,0.0055
JPYFRAP9M,LAST_PRICE,0.006
#Overnight,,
USDFF,LAST_PRICE,0.0025
EONIA,LAST_PRICE,0.00125
USDOVERNIGHT,LAST_PRICE,0.0025
EUROVERNIGHT,LAST_PRICE,0.00125
SONIO,LAST_PRICE,0.003
TONAR,LAST_PRICE,0.001
TOISTOIS,LAST_PRICE,0.0001
AUDON,LAST_PRICE,0.002
#Basis Swaps,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P1Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P2Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P3Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P4Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P5Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P6Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P7Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P8Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P9Y,LAST_PRICE,0.001
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P10Y,LAST_PRICE,0.001
#Fixing,,
USDISDA10P1Y,LAST_PRICE,0.014
USDISDA10P2Y,LAST_PRICE,0.025
USDISDA10P3Y,LAST_PRICE,0.031
USDISDA10P4Y,LAST_PRICE,0.035
USDISDA10P5Y,LAST_PRICE,0.037
USDISDA10P6Y,LAST_PRICE,0.039
USDISDA10P7Y,LAST_PRICE,0.04
USDISDA10P8Y,LAST_PRICE,0.041
USDISDA10P9Y,LAST_PRICE,0.0408
USDISDA10P10Y,LAST_PRICE,0.0406
USDISDA10P12Y,LAST_PRICE,0.0398
USDISDA10P15Y,LAST_PRICE,0.0394
USDISDA10P20Y,LAST_PRICE,0.0391
USDISDA10P25Y,LAST_PRICE,0.0389
USDISDA10P30Y,LAST_PRICE,0.0387
USDISDA10P40Y,LAST_PRICE,0.0384
USDISDA10P50Y,LAST_PRICE,0.0379
USDISDA10P80Y,LAST_PRICE,0.0379
AUDBBP6M,LAST_PRICE,0.01
AUDBBP3M,LAST_PRICE,0.01
# FX,,
USDJPY,LAST_PRICE,80
EURUSD,LAST_PRICE,1.328
USDCHF,LAST_PRICE,0.84
GBPUSD,LAST_PRICE,1.588
AUDUSD,LAST_PRICE,1.1
GBPEUR,LAST_PRICE,1.2
CHFJPY,LAST_PRICE,100
JPYUSD,LAST_PRICE,0.0125
CHFUSD,LAST_PRICE,1.19
USDUGX,LAST_PRICE,2550
#Index,,
SPX,LAST_PRICE,1300.67
# Swaption Cube,,
USDSWAPTIONVOL10Y10YN100.0,LAST_PRICE,0.26542677378530344
USDSWAPTIONVOL10Y10YN200.0,LAST_PRICE,0.29508930157207824
USDSWAPTIONVOL10Y10YP0.0,LAST_PRICE,0.2453
USDSWAPTIONVOL10Y15YN100.0,LAST_PRICE,0.25182677378530344
USDSWAPTIONVOL10Y15YN200.0,LAST_PRICE,0.2814893015720783
USDSWAPTIONVOL10Y15YP0.0,LAST_PRICE,0.2317
USDSWAPTIONVOL10Y15YP100.0,LAST_PRICE,0.22013223008392593
USDSWAPTIONVOL10Y15YP200.0,LAST_PRICE,0.21595856597790075
USDSWAPTIONVOL10Y1YN100.0,LAST_PRICE,0.2769267737853034
USDSWAPTIONVOL10Y1YN200.0,LAST_PRICE,0.30658930157207825
USDSWAPTIONVOL10Y1YP0.0,LAST_PRICE,0.2568
USDSWAPTIONVOL10Y1YP100.0,LAST_PRICE,0.24523223008392592
USDSWAPTIONVOL10Y1YP200.0,LAST_PRICE,0.24105856597790074
USDSWAPTIONVOL10Y20YN100.0,LAST_PRICE,0.24712677378530346
USDSWAPTIONVOL10Y20YN200.0,LAST_PRICE,0.27678930157207826
USDSWAPTIONVOL10Y20YP0.0,LAST_PRICE,0.227
USDSWAPTIONVOL10Y2YN100.0,LAST_PRICE,0.2766267737853034
USDSWAPTIONVOL10Y2YN200.0,LAST_PRICE,0.3062893015720783
USDSWAPTIONVOL10Y2YP0.0,LAST_PRICE,0.2565
USDSWAPTIONVOL10Y2YP100.0,LAST_PRICE,0.24493223008392595
USDSWAPTIONVOL10Y2YP200.0,LAST_PRICE,0.24075856597790077
USDSWAPTIONVOL10Y30YN100.0,LAST_PRICE,0.24442677378530345
USDSWAPTIONVOL10Y30YN200.0,LAST_PRICE,0.2740893015720783
USDSWAPTIONVOL10Y30YP0.0,LAST_PRICE,0.2243
USDSWAPTIONVOL10Y30YP100.0,LAST_PRICE,0.21273223008392594
USDSWAPTIONVOL10Y30YP200.0,LAST_PRICE,0.20855856597790076
USDSWAPTIONVOL10Y3MN100.0,LAST_PRICE,0.2751713571186367
USDSWAPTIONVOL10Y3MN200.0,LAST_PRICE,0.3048338849054115
USDSWAPTIONVOL10Y3MP0.0,LAST_PRICE,0.25504458333333324
USDSWAPTIONVOL10Y3MP100.0,LAST_PRICE,0.24347681341725919
USDSWAPTIONVOL10Y3MP200.0,LAST_PRICE,0.239303149311234
USDSWAPTIONVOL10Y5YN100.0,LAST_PRICE,0.26572677378530346
USDSWAPTIONVOL10Y5YN200.0,LAST_PRICE,0.2953893015720783
USDSWAPTIONVOL10Y5YP0.0,LAST_PRICE,0.2456
USDSWAPTIONVOL10Y5YP100.0,LAST_PRICE,0.23403223008392596
USDSWAPTIONVOL10Y5YP200.0,LAST_PRICE,0.22985856597790078
USDSWAPTIONVOL15Y10YN100.0,LAST_PRICE,0.2590267737853035
USDSWAPTIONVOL15Y10YN200.0,LAST_PRICE,0.2886893015720783
USDSWAPTIONVOL15Y10YP0.0,LAST_PRICE,0.2389
USDSWAPTIONVOL15Y10YP100.0,LAST_PRICE,0.22733223008392595
USDSWAPTIONVOL15Y10YP200.0,LAST_PRICE,0.22315856597790076
USDSWAPTIONVOL15Y15YN100.0,LAST_PRICE,0.23812677378530345
USDSWAPTIONVOL15Y15YN200.0,LAST_PRICE,0.26778930157207825
USDSWAPTIONVOL15Y15YP0.0,LAST_PRICE,0.218
USDSWAPTIONVOL15Y1YN100.0,LAST_PRICE,0.25612677378530346
USDSWAPTIONVOL15Y1YN200.0,LAST_PRICE,0.28578930157207827
USDSWAPTIONVOL15Y1YP0.0,LAST_PRICE,0.236
USDSWAPTIONVOL15Y1YP100.0,LAST_PRICE,0.22443223008392593
USDSWAPTIONVOL15Y1YP200.0,LAST_PRICE,0.22025856597790075
USDSWAPTIONVOL15Y20YN100.0,LAST_PRICE,0.23942677378530344
USDSWAPTIONVOL15Y20YN200.0,LAST_PRICE,0.2690893015720783
USDSWAPTIONVOL15Y20YP0.0,LAST_PRICE,0.2193
USDSWAPTIONVOL15Y20YP100.0,LAST_PRICE,0.20773223008392594
USDSWAPTIONVOL15Y20YP200.0,LAST_PRICE,0.20355856597790076
USDSWAPTIONVOL15Y2YN100.0,LAST_PRICE,0.25112677378530346
USDSWAPTIONVOL15Y2YN200.0,LAST_PRICE,0.28078930157207826
USDSWAPTIONVOL15Y2YP0.0,LAST_PRICE,0.231
USDSWAPTIONVOL15Y2YP100.0,LAST_PRICE,0.21943223008392596
USDSWAPTIONVOL15Y2YP200.0,LAST_PRICE,0.21525856597790077
USDSWAPTIONVOL15Y30YN100.0,LAST_PRICE,0.23782677378530345
USDSWAPTIONVOL15Y30YN200.0,LAST_PRICE,0.2674893015720783
USDSWAPTIONVOL15Y30YP0.0,LAST_PRICE,0.2177
USDSWAPTIONVOL15Y30YP100.0,LAST_PRICE,0.20613223008392595
USDSWAPTIONVOL15Y30YP200.0,LAST_PRICE,0.20195856597790077
USDSWAPTIONVOL15Y3MN100.0,LAST_PRICE,0.26495514618113675
USDSWAPTIONVOL15Y3MN200.0,LAST_PRICE,0.2946176739679116
USDSWAPTIONVOL15Y3MP0.0,LAST_PRICE,0.2448283723958333
USDSWAPTIONVOL15Y3MP100.0,LAST_PRICE,0.23326060247975924
USDSWAPTIONVOL15Y3MP200.0,LAST_PRICE,0.22908693837373406
USDSWAPTIONVOL15Y5YN100.0,LAST_PRICE,0.26382677378530345
USDSWAPTIONVOL15Y5YN200.0,LAST_PRICE,0.2934893015720783
USDSWAPTIONVOL15Y5YP0.0,LAST_PRICE,0.2437
USDSWAPTIONVOL15Y5YP100.0,LAST_PRICE,0.23213223008392594
USDSWAPTIONVOL15Y5YP200.0,LAST_PRICE,0.22795856597790076
USDSWAPTIONVOL1Y10YN100.0,LAST_PRICE,0.40332677378530346
USDSWAPTIONVOL1Y10YN200.0,LAST_PRICE,0.43298930157207827
USDSWAPTIONVOL1Y10YP0.0,LAST_PRICE,0.3832
USDSWAPTIONVOL1Y15YN100.0,LAST_PRICE,0.3594267737853034
USDSWAPTIONVOL1Y15YN200.0,LAST_PRICE,0.38908930157207827
USDSWAPTIONVOL1Y15YP0.0,LAST_PRICE,0.3393
USDSWAPTIONVOL1Y15YP100.0,LAST_PRICE,0.32773223008392594
USDSWAPTIONVOL1Y15YP200.0,LAST_PRICE,0.3235585659779008
USDSWAPTIONVOL1Y1YN100.0,LAST_PRICE,0.7164267737853035
USDSWAPTIONVOL1Y1YN200.0,LAST_PRICE,0.7460893015720783
USDSWAPTIONVOL1Y1YN25.0,LAST_PRICE,0.7006030695710983
USDSWAPTIONVOL1Y1YN50.0,LAST_PRICE,0.7053802367144663
USDSWAPTIONVOL1Y1YN70.0,LAST_PRICE,0.7095555820131632
USDSWAPTIONVOL1Y1YP70.0,LAST_PRICE,0.6872695306861133
USDSWAPTIONVOL1Y1YP75.0,LAST_PRICE,0.6867976529827768
USDSWAPTIONVOL1Y20YN100.0,LAST_PRICE,0.3476267737853035
USDSWAPTIONVOL1Y20YN200.0,LAST_PRICE,0.3772893015720783
USDSWAPTIONVOL1Y20YP0.0,LAST_PRICE,0.3275
USDSWAPTIONVOL1Y20YP100.0,LAST_PRICE,0.31593223008392596
USDSWAPTIONVOL1Y20YP200.0,LAST_PRICE,0.31175856597790075
USDSWAPTIONVOL1Y2YN100.0,LAST_PRICE,0.6166267737853035
USDSWAPTIONVOL1Y2YN20.0,LAST_PRICE,0.5999013581452212
USDSWAPTIONVOL1Y2YN200.0,LAST_PRICE,0.6462893015720783
USDSWAPTIONVOL1Y2YN50.0,LAST_PRICE,0.6055802367144663
USDSWAPTIONVOL1Y2YN70.0,LAST_PRICE,0.6097555820131632
USDSWAPTIONVOL1Y2YP100.0,LAST_PRICE,0.5849322300839259
USDSWAPTIONVOL1Y2YP20.0,LAST_PRICE,0.5934375826930797
USDSWAPTIONVOL1Y2YP200.0,LAST_PRICE,0.5807585659779008
USDSWAPTIONVOL1Y2YP50.0,LAST_PRICE,0.589565501646852
USDSWAPTIONVOL1Y2YP70.0,LAST_PRICE,0.5874695306861133
USDSWAPTIONVOL1Y2YP75.0,LAST_PRICE,0.5869976529827768
USDSWAPTIONVOL1Y30YN100.0,LAST_PRICE,0.3386267737853035
USDSWAPTIONVOL1Y30YN200.0,LAST_PRICE,0.3682893015720783
USDSWAPTIONVOL1Y30YP0.0,LAST_PRICE,0.3185
USDSWAPTIONVOL1Y30YP100.0,LAST_PRICE,0.30693223008392595
USDSWAPTIONVOL1Y30YP200.0,LAST_PRICE,0.30275856597790074
USDSWAPTIONVOL1Y3MN100.0,LAST_PRICE,0.8175299638894702
USDSWAPTIONVOL1Y3MN20.0,LAST_PRICE,0.8008045482493878
USDSWAPTIONVOL1Y3MN200.0,LAST_PRICE,0.847192491676245
USDSWAPTIONVOL1Y3MN50.0,LAST_PRICE,0.8064834268186329
USDSWAPTIONVOL1Y3MN70.0,LAST_PRICE,0.8106587721173298
USDSWAPTIONVOL1Y3MP100.0,LAST_PRICE,0.7858354201880926
USDSWAPTIONVOL1Y3MP20.0,LAST_PRICE,0.7943407727972464
USDSWAPTIONVOL1Y3MP200.0,LAST_PRICE,0.7816617560820674
USDSWAPTIONVOL1Y3MP50.0,LAST_PRICE,0.7904686917510186
USDSWAPTIONVOL1Y3MP70.0,LAST_PRICE,0.78837272079028
USDSWAPTIONVOL1Y5YN100.0,LAST_PRICE,0.4878267737853035
USDSWAPTIONVOL1Y5YN200.0,LAST_PRICE,0.5174893015720783
USDSWAPTIONVOL1Y5YN25.0,LAST_PRICE,0.4720030695710983
USDSWAPTIONVOL1Y5YN50.0,LAST_PRICE,0.47678023671446623
USDSWAPTIONVOL1Y5YN70.0,LAST_PRICE,0.48095558201316313
USDSWAPTIONVOL1Y5YP70.0,LAST_PRICE,0.45866953068611327
USDSWAPTIONVOL1Y5YP75.0,LAST_PRICE,0.4581976529827768
USDSWAPTIONVOL20Y10YN100.0,LAST_PRICE,0.24192677378530345
USDSWAPTIONVOL20Y10YN200.0,LAST_PRICE,0.2715893015720783
USDSWAPTIONVOL20Y10YP0.0,LAST_PRICE,0.2218
USDSWAPTIONVOL20Y10YP100.0,LAST_PRICE,0.21023223008392594
USDSWAPTIONVOL20Y10YP200.0,LAST_PRICE,0.20605856597790076
USDSWAPTIONVOL20Y15YN100.0,LAST_PRICE,0.23242677378530344
USDSWAPTIONVOL20Y15YN200.0,LAST_PRICE,0.26208930157207827
USDSWAPTIONVOL20Y15YP0.0,LAST_PRICE,0.2123
USDSWAPTIONVOL20Y15YP100.0,LAST_PRICE,0.20073223008392593
USDSWAPTIONVOL20Y15YP200.0,LAST_PRICE,0.19655856597790075
USDSWAPTIONVOL20Y1YN100.0,LAST_PRICE,0.24812677378530346
USDSWAPTIONVOL20Y1YN200.0,LAST_PRICE,0.27778930157207826
USDSWAPTIONVOL20Y1YP0.0,LAST_PRICE,0.228
USDSWAPTIONVOL20Y1YP100.0,LAST_PRICE,0.21643223008392595
USDSWAPTIONVOL20Y1YP200.0,LAST_PRICE,0.21225856597790077
USDSWAPTIONVOL20Y20YN100.0,LAST_PRICE,0.22922677378530346
USDSWAPTIONVOL20Y20YN200.0,LAST_PRICE,0.2588893015720783
USDSWAPTIONVOL20Y20YP0.0,LAST_PRICE,0.2091
USDSWAPTIONVOL20Y20YP100.0,LAST_PRICE,0.19753223008392595
USDSWAPTIONVOL20Y20YP200.0,LAST_PRICE,0.19335856597790077
USDSWAPTIONVOL20Y2YN100.0,LAST_PRICE,0.24912677378530346
USDSWAPTIONVOL20Y2YN200.0,LAST_PRICE,0.27878930157207826
USDSWAPTIONVOL20Y2YP0.0,LAST_PRICE,0.229
USDSWAPTIONVOL20Y2YP100.0,LAST_PRICE,0.21743223008392595
USDSWAPTIONVOL20Y2YP200.0,LAST_PRICE,0.21325856597790077
USDSWAPTIONVOL20Y30YN100.0,LAST_PRICE,0.22912677378530344
USDSWAPTIONVOL20Y30YN200.0,LAST_PRICE,0.25878930157207825
USDSWAPTIONVOL20Y30YP0.0,LAST_PRICE,0.209
USDSWAPTIONVOL20Y30YP100.0,LAST_PRICE,0.19743223008392594
USDSWAPTIONVOL20Y30YP200.0,LAST_PRICE,0.19325856597790075
USDSWAPTIONVOL20Y3MN100.0,LAST_PRICE,0.24732008107697012
USDSWAPTIONVOL20Y3MN200.0,LAST_PRICE,0.27698260886374493
USDSWAPTIONVOL20Y3MP0.0,LAST_PRICE,0.22719330729166667
USDSWAPTIONVOL20Y3MP100.0,LAST_PRICE,0.21562553737559262
USDSWAPTIONVOL20Y3MP200.0,LAST_PRICE,0.21145187326956744
USDSWAPTIONVOL20Y5YN100.0,LAST_PRICE,0.25062677378530346
USDSWAPTIONVOL20Y5YN200.0,LAST_PRICE,0.2802893015720783
USDSWAPTIONVOL20Y5YP0.0,LAST_PRICE,0.2305
USDSWAPTIONVOL20Y5YP100.0,LAST_PRICE,0.21893223008392595
USDSWAPTIONVOL20Y5YP200.0,LAST_PRICE,0.21475856597790077
USDSWAPTIONVOL2Y10YN100.0,LAST_PRICE,0.3667267737853035
USDSWAPTIONVOL2Y10YN200.0,LAST_PRICE,0.3963893015720783
USDSWAPTIONVOL2Y10YP0.0,LAST_PRICE,0.3466
USDSWAPTIONVOL2Y15YN100.0,LAST_PRICE,0.34812677378530343
USDSWAPTIONVOL2Y15YN200.0,LAST_PRICE,0.3777893015720783
USDSWAPTIONVOL2Y15YP0.0,LAST_PRICE,0.328
USDSWAPTIONVOL2Y15YP100.0,LAST_PRICE,0.31643223008392596
USDSWAPTIONVOL2Y15YP200.0,LAST_PRICE,0.3122585659779008
USDSWAPTIONVOL2Y1YN100.0,LAST_PRICE,0.6540267737853035
USDSWAPTIONVOL2Y1YN20.0,LAST_PRICE,0.6373013581452212
USDSWAPTIONVOL2Y1YN200.0,LAST_PRICE,0.6836893015720783
USDSWAPTIONVOL2Y1YN50.0,LAST_PRICE,0.6429802367144662
USDSWAPTIONVOL2Y1YN70.0,LAST_PRICE,0.6471555820131631
USDSWAPTIONVOL2Y1YN75.0,LAST_PRICE,0.648251099987295
USDSWAPTIONVOL2Y1YP100.0,LAST_PRICE,0.622332230083926
USDSWAPTIONVOL2Y1YP20.0,LAST_PRICE,0.6308375826930797
USDSWAPTIONVOL2Y1YP200.0,LAST_PRICE,0.6181585659779008
USDSWAPTIONVOL2Y1YP50.0,LAST_PRICE,0.6269655016468519
USDSWAPTIONVOL2Y1YP70.0,LAST_PRICE,0.6248695306861133
USDSWAPTIONVOL2Y1YP75.0,LAST_PRICE,0.6243976529827768
USDSWAPTIONVOL2Y20YN100.0,LAST_PRICE,0.32992677378530344
USDSWAPTIONVOL2Y20YN200.0,LAST_PRICE,0.3595893015720783
USDSWAPTIONVOL2Y20YP0.0,LAST_PRICE,0.3098
USDSWAPTIONVOL2Y20YP100.0,LAST_PRICE,0.29823223008392596
USDSWAPTIONVOL2Y20YP200.0,LAST_PRICE,0.2940585659779008
USDSWAPTIONVOL2Y2YN100.0,LAST_PRICE,0.5550267737853035
USDSWAPTIONVOL2Y2YN200.0,LAST_PRICE,0.5846893015720783
